Centil,Académico/Laboral-min,Académico/Laboral-max,Social-min,Social-max,Emocional-min,Emocional-max,Familiar-min,Familiar-max,Físico-min,Físico-max
99,9.42,9.90,9.75,9.90,8.61,9.90,9.90,9.90,8.41,9.90
97,8.99,9.41,9.44,9.74,8.22,8.60,,,7.82,8.40
95,8.70,8.98,9.17,9.43,7.83,8.21,,,7.50,7.81
93,8.50,8.69,9.00,9.16,7.65,7.82,,,7.23,7.49
90,8.33,8.49,8.78,8.99,7.24,7.64,9.62,9.89,6.83,7.22
85,8.00,8.32,8.50,8.77,6.83,7.23,,,6.50,6.82
80,7.67,7.99,8.27,8.49,6.58,6.82,9.37,9.61,6.17,6.49
75,7.49,7.66,8.07,8.26,6.17,6.57,,,5.92,6.16
70,7.33,7.48,7.85,8.06,5.93,6.16,9.04,9.36,5.75,5.91
65,7.17,7.32,7.67,7.84,5.68,5.92,,,5.50,5.74
60,7.00,7.16,7.50,7.66,5.46,5.67,8.75,9.03,5.33,5.49
55,6.83,6.99,7.33,7.49,5.17,5.45,8.57,8.74,5.10,5.32
50,6.67,6.82,7.08,7.32,4.92,5.16,8.40,8.56,4.83,5.09
45,6.49,6.66,6.83,7.07,4.65,4.91,8.23,8.39,4.67,4.82
40,6.25,6.48,6.58,6.82,4.42,4.64,8.04,8.22,4.50,4.66
35,6.00,6.24,6.33,6.57,4.17,4.41,7.75,8.03,4.20,4.49
30,5.75,5.99,6.08,6.32,3.85,4.16,7.50,7.74,4.00,4.19
25,5.52,5.74,5.83,6.07,3.59,3.84,7.19,7.49,3.75,3.99
20,5.33,5.51,5.58,5.82,3.33,3.58,6.83,7.18,3.50,3.74
15,5.00,5.32,5.25,5.57,2.92,3.32,6.32,6.82,3.17,3.49
10,4.67,4.99,4.85,5.24,2.53,2.91,5.43,6.31,2.53,3.16
7,4.29,4.66,4.40,4.84,2.30,2.52,4.88,5.42,2.26,2.52
5,4.00,4.28,4.10,4.39,2.02,2.29,4.54,4.87,2.05,2.25
3,3.77,3.99,3.67,4.09,1.77,2.01,3.47,4.53,1.81,2.04
1,2.89,3.76,2.45,3.66,1.25,1.76,2.04,3.46,1.21,1.80
